Tipo Avión;Familia;Pasillo;
AIRBUS A220-100 PASSENGER;A220;Pasillo único;
AIRBUS A220-300 PASSENGER;A220;Pasillo único;
AIRBUS A300 PASSENGERS;A300;Doble pasillo;
AIRBUS A300-300 FREIGHTER;A300;Doble pasillo;
AIRBUS A300-600 FREIGHTER;A300;Doble pasillo;
AIRBUS A300-600 PASSENGERS;A300;Doble pasillo;
AIRBUS A300-600ST BELUGA FREIGHTER;A300;Doble pasillo;
AIRBUS A300-B2/B4/C4 PASSENGERS;A300;Doble pasillo;
AIRBUS A300-B4-C4-F4 FREIGHTER;A300;Doble pasillo;
AIRBUS A300-C4/F4/A300-600F;A300;Doble pasillo;
AIRBUS A310;A310;Doble pasillo;
AIRBUS A310-200 PASSENGER;A310;Doble pasillo;
AIRBUS A310-300 PASSENGER;A310;Doble pasillo;   
AIRBUS A318;A318;Pasillo único;
AIRBUS A318 (SHARKLETS);A318;Pasillo único;
AIRBUS A318/319/320/321;A318;Pasillo único;
AIRBUS A319;A319;Pasillo único;
AIRBUS A319 (SHARKLETS);A319;Pasillo único;
AIRBUS A319 NEO PASSENGER;A319;Pasillo único;
AIRBUS A320 (SHARKLETS);A320;Pasillo único;
AIRBUS A320 FREIGHTER;A320;Pasillo único;
AIRBUS A320 NEO;A320;Pasillo único;
AIRBUS A320 PASSENGER;A320;Pasillo único;
AIRBUS A321;A321;Pasillo único;
AIRBUS A321 (SHARKLETS);A321;Pasillo único;
AIRBUS A321 FREIGHTER;A321;Pasillo único;
AIRBUS A321 NEO;A321;Pasillo único;
AIRBUS A321-132;A321;Pasillo único;
AIRBUS A330;A330;Doble pasillo;
AIRBUS A330-200;A330;Doble pasillo;
AIRBUS A330-300;A330;Doble pasillo;
AIRBUS A330-800NEO PASSENGER;A330;Doble pasillo;
AIRBUS A330-900NEO PASSENGER;A330;Doble pasillo;
AIRBUS A340;A340;Doble pasillo;
AIRBUS A340-200;A340;Doble pasillo;
AIRBUS A340-300;A340;Doble pasillo;
AIRBUS A340-500;A340;Doble pasillo;
AIRBUS A340-600;A340;Doble pasillo;
AIRBUS A350-1000;A350;Doble pasillo;
AIRBUS A350-900;A350;Doble pasillo;
AIRBUS A380-800 PASSENGER;A380;Doble pasillo;
AIRBUS A400M ATLAS;A400;Pasillo único;
AIRBUS INDUSTRIE A310-300 FREIGHTER;A310;Doble pasillo;
AIRBUS INDUSTRIE A330-200 FREIGHTER;A330;Doble pasillo;
AIRBUS INDUSTRIE A380 PASSENGER;A380;Doble pasillo;
;;;
